Product ID;brand;url;name;description;price;currency
185102;Zara;https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html;BASIC PUFFER JACKET;Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.;78.99;USD
188771;Zara;https://www.zara.com/us/en/tuxedo-jacket-p08896675.html;TUXEDO JACKET;Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.;14.99;USD
180176;Zara;https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html;SLIM FIT SUIT JACKET;Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;71.95;USD
112917;Zara;https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html;STRETCH SUIT JACKET;Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;30.99;USD
192936;Zara;https://www.zara.com/us/en/double-faced-jacket-p08281477.html;DOUBLE FACED JACKET;Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.;22.99;USD
117590;Zara;https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html;CONTRASTING COLLAR JACKET;Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.;25.95;USD
189118;Zara;https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html;FAUX LEATHER PUFFER JACKET;Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.;87.99;USD
182157;Zara;https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html;SUIT JACKET IN 100% LINEN;Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;24.0;USD
141861;Zara;https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html;100% WOOL SUIT JACKET;Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;32.95;USD
137121;Zara;https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html;100% FEATHER FILL PUFFER JACKET;Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.;39.95;USD
113143;Zara;https://www.zara.com/us/en/herringbone-textured-jacket-p08491401.html;HERRINGBONE TEXTURED JACKET;Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.;22.99;USD
140028;Zara;https://www.zara.com/us/en/oversized-cropped-jacket-limited-edition-p04304672.html;OVERSIZED CROPPED JACKET LIMITED EDITION;Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.;15.95;USD
134693;Zara;https://www.zara.com/us/en/leather-biker-jacket-p05833412.html;LEATHER BIKER JACKET;Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.;49.99;USD
151396;Zara;https://www.zara.com/us/en/cropped-leather-jacket-p02521104.html;CROPPED LEATHER JACKET;Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.;69.99;USD
132889;Zara;https://www.zara.com/us/en/faux-leather-boxy-fit-jacket-p08281654.html;FAUX LEATHER BOXY FIT JACKET;Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip. Front button closure.;28.99;USD
152174;Zara;https://www.zara.com/us/en/faux-leather-jacket-p03427320.html;FAUX LEATHER JACKET;Jacket made of faux leather fabric. Lapel collar with snap button details. Long sleeves with zip cuffs. Front zip pockets at chest and hip. Interior pocket. Asymmetric front closure with metal zipper.;29.99;USD
129906;Zara;https://www.zara.com/us/en/faux-suede-bomber-jacket-p06318600.html;FAUX SUEDE BOMBER JACKET;Jacket made of faux suede fabric. Ribbed elastic high collar and long sleeve. Welt pockets at hip. Rib trim. Front zip closure.;29.99;USD
195879;Zara;https://www.zara.com/us/en/denim-bomber-jacket-p00621400.html;DENIM BOMBER JACKET;Jacket made of denim fabric with padded interior. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Elastic hem. All-over contrasting topstitching details. Front zip closure.;25.99;USD
155050;Zara;https://www.zara.com/us/en/boucle-textured-jacket-p08491402.html;BOUCLÃ‰ TEXTURED JACKET;Cropped jacket made with wool blend fabric. High collar and long sleeves with elastic cuffs. Front patch pockets with flaps. Elastic hem. Front snap button closure.;77.99;USD
194410;Zara;https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307443.html;SUIT JACKET IN 100% LINEN;Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Back vents. Front button closure.;49.99;USD
